-40	72.1870750151
-39	73.4653093387
-38	74.7437368187
-37	76.0223322923
-36	77.301069779
-35	78.5799224561
-34	79.8588816803
-33	81.1379302132
-32	82.4170197836
-31	83.6961207189
-30	84.9752023891
-29	86.2542331785
-28	87.5331804546
-27	88.8120105377
-26	90.0906886684
-25	91.3692004217
-24	92.6475243884
-23	93.9255990592
-22	95.2033858647
-21	96.4808450021
-20	97.7579353971
-19	99.0346146649
-18	100.310839069
-17	101.586563482
-16	102.861781942
-15	104.136436791
-14	105.410463599
-13	106.68381214
-12	107.956430585
-11	109.228265461
-10	110.499261593
-9	111.769362053
-8	113.038520357
-7	114.306723636
-6	115.573867196
-5	116.839887497
-4	118.10471898
-3	119.368294007
-2	120.630542794
-1	121.891393347
0	123.150771393
1	124.408669646
2	125.664964629
3	126.919570418
4	128.172403905
5	129.423379352
6	130.672408315
7	131.91939956
8	133.164258979
9	134.406955963
10	135.647358049
11	136.88535011
12	138.120826661
13	139.353678906
14	140.583794646
15	141.811058178
16	143.035350198
17	144.256622306
18	145.474707092
19	146.689463555
20	147.900757897
21	149.1084522
22	150.312404318
23	151.512467766
24	152.708491609
25	153.900410864
26	155.088001493
27	156.271096689
28	157.449527454
29	158.623119782
30	159.791694551
31	160.955067421
32	162.113056166
33	163.265550146
34	164.412281191
35	165.553043754
36	166.687626576
37	167.81581261
38	168.937378946
39	170.052096758
40	171.15974025
